year_x,iso3_o_x,iso3_d_x,Exports,gmt_offset_2020_o_x,gmt_offset_2020_d_x,lndist_x,dist_x,contig_x,comlang_off_x,comlang_ethno_x,comcol_x,col45_x,asean,aifta,international,gdp_o_x,gdp_d_x,tradeflow_comtrade_o_x,tradeflow_comtrade_d_x,tradeflow_imf_o_x,tradeflow_imf_d_x,sum_tf
2020,ARE,ARE,,4,4,4.69,109,0,0,0,0,0,0,0,0,358868765.2,358868765.2,,,,,
2020,ARE,AUS,598022.5915,4,10,9.36,11658,0,0,0,0,0,0,0,1,358868765.2,1327836171,596145.089,1489349.176,1389918.5,1473313.5,2085494.265
2020,ARE,BRN,13913.29745,4,8,8.81,6734,0,0,0,1,0,0,0,1,358868765.2,12005825.77,13851.439,227748.07,213284.781,226081.875,241599.509
2020,ARE,CAN,342610.2943,4,5,9.31,11085,0,0,0,0,0,0,0,1,358868765.2,1645423408,329427.315,180824.276,185449.484,196576.469,510251.591
2020,ARE,CHL,65394.16349,4,4,9.60,14760,0,0,0,0,0,0,0,1,358868765.2,252727193.7,65394.143,24753.619,23352.484,24753.637,90147.762
2020,ARE,CHN,8021727.537,4,8,8.77,6430,0,0,0,0,0,0,0,1,358868765.2,14687673893,8005718.801,16838581.07,15348546,16957498,24844299.87
2020,ARE,COL,86603.38922,4,5,9.52,13639,0,0,0,0,0,0,0,1,358868765.2,270299982.9,86603.372,68858.39,64960.762,68858.406,155461.762
2020,ARE,DEU,1350338.15,4,1,8.44,4624,0,0,0,0,0,0,0,1,358868765.2,3846413929,1219549.97,771820.459,601938.688,638055,1991370.429
2020,ARE,FRA,642982.5489,4,1,8.57,5251,0,0,0,0,0,0,0,1,358868765.2,2630317731,642978.34,933861.428,892022.5,945543.875,1576839.768
2020,ARE,IDN,385805.7691,4,7,8.79,6572,0,0,0,0,0,0,0,1,358868765.2,1058688935,358415.585,1660088.528,1587728.25,1682992,2018504.113
2020,ARE,IND,11496283.52,4,5.5,7.70,2204,0,0,0,1,0,0,0,1,358868765.2,2667687952,8770496.176,21372324.09,22599558,23955530,30142820.27
2020,ARE,JPN,1416170.879,4,9,8.98,7940,0,0,0,0,0,0,0,1,358868765.2,5040107754,1415696.657,16396793.14,15412320,16337059,17812489.8
2020,ARE,KHM,106314.3249,4,7,8.60,5423,0,0,0,0,0,0,0,1,358868765.2,25872798.01,106314.222,55579.381,52433.391,55579.395,161893.603
2020,ARE,KOR,795821.2925,4,9,8.82,6788,0,0,0,0,0,0,0,1,358868765.2,1637895803,795551.926,5689389.48,5371652.5,5693952,6484941.406
2020,ARE,LAO,43723.30302,4,7,8.50,4938,0,0,0,0,0,0,0,1,358868765.2,18981800.71,43722.75,,,,43722.75
2020,ARE,LKA,610247.4413,4,5.5,8.10,3306,0,0,0,1,0,0,0,1,358868765.2,80969683.54,324458.328,881299.59,838676.125,888996.688,1205757.918
2020,ARE,MMR,152746.2466,4,6.5,8.37,4330,0,0,0,1,0,0,0,1,358868765.2,78930257.23,152746.229,203176.19,191679.25,203180,355922.419
2020,ARE,MYS,1377745.46,4,8,8.62,5531,0,0,0,1,0,0,0,1,358868765.2,337006023.8,924254.424,2404583.359,2724271.5,2887728.25,3328837.783
2020,ARE,NZL,104443.6588,4,12,9.56,14202,0,0,0,0,0,0,0,1,358868765.2,211734532.3,104373.219,985003.268,941927,998442.625,1089376.487
2020,ARE,PAK,3471870.763,4,5,7.08,1188,0,0,0,1,0,0,0,1,358868765.2,300306331.7,3460433.375,4472299.71,4227087.5,4480712.5,7932733.085
2020,ARE,PHL,301687.6974,4,8,8.84,6913,0,0,0,0,0,0,0,1,358868765.2,361751116.3,301417.896,444817.809,427115.281,452742.219,746235.705
2020,ARE,RUS,615192.0224,4,3,8.21,3678,0,0,0,0,0,0,0,1,358868765.2,1488321875,609710.377,340796.058,328715.594,348438.531,950506.435
2020,ARE,SGP,1823916.573,4,8,8.67,5842,0,0,0,1,0,0,0,1,358868765.2,345295933.9,1450838.187,5961200.123,4555644.5,4828983,7412038.31
2020,ARE,THA,734306.6815,4,7,8.50,4891,0,0,0,0,0,0,0,1,358868765.2,499681757,632951.553,5529869.13,4981264.5,5280140.5,6162820.683
2020,ARE,USA,5367206.073,4,5,9.31,11024,0,0,0,0,0,0,0,1,358868765.2,20893743833,5296346.491,3234562.515,2897476,3071324.75,8530909.006
2020,ARE,VNM,743649.3042,4,7,8.64,5634,0,0,0,0,0,0,0,1,358868765.2,343242570.8,743646.392,418732.847,394287.781,417945.062,1162379.239
2020,ARE,ZAF,830801.95,4,2,8.76,6405,0,0,0,0,0,0,0,1,358868765.2,335442101.4,812755.866,1202073.872,1205592.375,1277927.875,2014829.738
2020,AUS,ARE,1311953.067,10,4,9.36,11658,0,0,0,0,0,0,0,1,1327836171,358868765.2,1949549.18,1659786.201,1946404.125,1707099,3609335.381
2020,AUS,AUS,,10,10,6.95,1046,0,0,0,0,0,0,0,0,1327836171,1327836171,,,,,0
2020,AUS,BRN,244858.0428,10,8,8.64,5661,0,0,0,0,0,0,0,1,1327836171,12005825.77,266045.192,296747.265,282998.594,299878.969,562792.457
2020,AUS,CAN,1112637.955,10,5,9.70,16263,0,1,1,0,0,0,0,1,1327836171,1645423408,1439999.525,1680342.924,1459348.875,1865048.5,3120342.449
